MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2021-03-31,0.031535670491072976,1.7463411751995057,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,0.031535670491072976
2021-04-30,0.11256434092011935,1.1125643409201194,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0,0.11256434092011935
2021-05-31,0.044180503279229066,1.161717993432494,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0,0.044180503279229066
2021-06-30,0.13799713916251877,1.3220317530397998,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0,0.13799713916251877
2021-07-31,-0.0358060408362586,1.2746950301036262,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,-0.0358060408362586
2021-08-31,0.08459068538269565,1.3825223563540079,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.08459068538269565
2021-09-30,-0.06569010861038582,1.2917043126088266,2,2,0,0,2020,2021-03-31,gap_top_5pct,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0,-0.06569010861038582
2021-10-31,0.17506688425576478,1.5178389619969883,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0,0.17506688425576478
2021-11-30,0.20401271981030367,1.827497416868042,2,2,0,0,2020,2021-03-31,gap_top_5pct,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,0.20401271981030367
2021-12-31,-0.047775000180598215,1.7401887274471286,2,2,0,0,2020,2021-03-31,gap_top_5pct,0.032400000000000005,-0.0078000000000000005,0.0325,0.048799999999999996,0.0429,0.0001,-0.04787500018059822
