Ticker,FiscalYear,model_type,sector_scope,Sector,MarketCap,m1,m2,m3,SP500MemberYear,SP500AsOfDate,y_actual,score,gap,Strategy,RebalanceDate,buy_date,sell_date,target_sell_date,buy_price,sell_price,position_return,price_status
NOW,2022,ranknet,bio_it,Information Technology,18867632049.560547,0.0310481031656135,4.441003559755464,1.4253163842797456,2022,2022-12-31,-0.6476971481259451,-0.23852993442927956,0.4091672136966656,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,92.94400024414062,152.47999572753906,0.6405577049299824,normal
ROP,2022,ranknet,bio_it,Information Technology,46820349119.132996,0.2362174590768077,1.1387654461342802,1.037759052213148,2022,2022-12-31,-0.34750380821593296,0.058227575755210495,0.40573138397114344,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,440.69000244140625,560.8400268554688,0.27264068562580457,normal
FICO,2023,ranknet,bio_it,Information Technology,28766827724.91333,3.860950964077862,1.038039852137106,1.0148665240904426,2023,2023-12-31,3.406104784597559,13.117438001217216,9.711333216619657,gap_top_5pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,1249.6099853515625,1844.1600341796875,0.4757884906472283,normal
VRSN,2023,ranknet,bio_it,Information Technology,19121558445.739742,-0.6723550234019522,1.047461069756659,1.2859140221297811,2023,2023-12-31,-5.804235587378624,-3.1033976361402895,2.7008379512383347,gap_top_5pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,189.5099945068359,253.8699951171875,0.3396126984111649,normal
LRCX,2023,ranknet,bio_it,Information Technology,8305435636.896893,0.3363273912710145,1.0750697831506193,1.0945747736453129,2023,2023-12-31,-1.6783289819281648,0.44550554481336596,2.123834526741531,gap_top_5pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,97.15699768066406,72.69999694824219,-0.25172660041232675,normal
FICO,2023,ranknet,bio_it,Information Technology,28766827724.91333,3.860950964077862,1.038039852137106,1.0148665240904426,2023,2023-12-31,3.406104784597559,13.117438001217216,9.711333216619657,gap_top_10pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,1249.6099853515625,1844.1600341796875,0.4757884906472283,normal
VRSN,2023,ranknet,bio_it,Information Technology,19121558445.739742,-0.6723550234019522,1.047461069756659,1.2859140221297811,2023,2023-12-31,-5.804235587378624,-3.1033976361402895,2.7008379512383347,gap_top_10pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,189.5099945068359,253.8699951171875,0.3396126984111649,normal
LRCX,2023,ranknet,bio_it,Information Technology,8305435636.896893,0.3363273912710145,1.0750697831506193,1.0945747736453129,2023,2023-12-31,-1.6783289819281648,0.44550554481336596,2.123834526741531,gap_top_10pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,97.15699768066406,72.69999694824219,-0.25172660041232675,normal
AVGO,2023,ranknet,bio_it,Information Technology,55240587142.0,0.3516800550878056,1.0398532829221323,1.082092581927358,2023,2023-12-31,-0.8772982811996002,0.49721449486482244,1.3745127760644227,gap_top_10pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,132.54100036621094,167.42999267578125,0.2632316959519845,normal
HPE,2023,ranknet,bio_it,Information Technology,19876999950.408936,0.062888539669282,1.1865618787251389,1.1158196134574088,2023,2023-12-31,-1.6814631511280083,-0.536861634102932,1.1446015170250763,gap_top_10pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,17.729999542236328,15.43000030517578,-0.12972359257999422,normal
WDC,2023,ranknet,bio_it,Information Technology,11102125926.657,-0.0930099974508919,-1.201391142098628,0.8791040782784849,2023,2023-12-31,-1.7011285276908137,-1.072326931378345,0.6288015963124687,gap_top_10pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,51.579742431640625,40.43000030517578,-0.2161651377232401,normal
FICO,2023,ranknet,bio_it,Information Technology,28766827724.91333,3.860950964077862,1.038039852137106,1.0148665240904426,2023,2023-12-31,3.406104784597559,13.117438001217216,9.711333216619657,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,1249.6099853515625,1844.1600341796875,0.4757884906472283,normal
VRSN,2023,ranknet,bio_it,Information Technology,19121558445.739742,-0.6723550234019522,1.047461069756659,1.2859140221297811,2023,2023-12-31,-5.804235587378624,-3.1033976361402895,2.7008379512383347,gap_top_20pct,2024-03-31,2024-03-31,2025-03-31,2025-03-31,189.5099945068359,253.8699951171875,0.3396126984111649,normal
