FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs,Experiment,Universe,Model,SectorScope,WindowYears
2019,ranknet,all,2016,2018,884,321,0.4833502900554118,0.6159300897262341,0.070274292626313,-0.007274894267929,-0.0978869382675851,0.6286902224058439,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2020,ranknet,all,2017,2019,923,332,0.4015678431451218,0.6609108425366347,0.0247149690544224,-0.0622852062073652,-0.084894480599059,0.6188339902284804,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2021,ranknet,all,2018,2020,960,356,0.4308098692712077,0.3964855249320733,0.0295659920545269,-0.0349739680212458,-0.0630521671681978,0.6633338493547923,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2022,ranknet,all,2019,2021,1009,370,0.5246449228409632,0.3370884385963081,0.0102975746744054,0.0145601223970022,-0.0686745681465134,0.6707311922236648,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2023,ranknet,all,2020,2022,1058,375,0.6296079610679184,0.2771329434834218,0.0219657888422933,0.0286889878760669,-0.0698706383903959,0.6760262002139329,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2024,ranknet,all,2021,2023,1101,373,0.6268582478561788,0.5031245631130437,-0.0002319361693722,0.1089377193214931,-0.0620542745001709,0.6459050907636223,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2025,ranknet,all,2022,2024,1118,382,0.6564073468749458,0.548654322443685,0.0452236982271335,0.1393879717897029,-0.0617891949878828,0.6360165304632859,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,ranknet,bio_it,2013,2017,203,49,0.1308163265306122,0.3430989239671426,0.222845198267462,-0.0267691181769616,-0.2160432845870217,0.6605520742429082,4045,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,ranknet,bio_it,2014,2018,211,52,0.2201020256205621,0.2155086058144488,0.1995455294800994,0.0753058988208147,-0.1836878246899715,0.6670405207877192,4401,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,ranknet,bio_it,2015,2019,228,56,0.4594747005917028,0.2491226283458553,0.1372251579702726,0.0442751091044913,-0.1604945936590674,0.6724710442063672,5132,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,ranknet,bio_it,2016,2020,243,62,0.6094281181536603,0.4060929841071278,0.1594890919475194,0.0732320617509559,-0.1421900972559683,0.6505989688922924,5852,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,ranknet,bio_it,2017,2021,264,64,0.4679998626664522,0.5075735432758786,0.082692431752969,0.1281808048678206,-0.1193211626845639,0.6343417746659621,6923,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,ranknet,bio_it,2018,2022,283,67,0.5329236172080773,0.5307045169208116,-0.0077071613913988,0.0803836114804521,-0.1147444870942719,0.6325660480093249,7949,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,ranknet,bio_it,2019,2023,301,73,0.5587634114337775,0.6789242194784859,-0.0186757945853733,0.0481346874390175,-0.0548847751591525,0.6188780739016287,8984,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2025,ranknet,bio_it,2020,2024,322,74,0.6885797007201042,0.7547010185778227,-0.0128190105798181,0.1023745904251057,-0.0462737956214724,0.605087269801141,10286,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2016,ranknet,bio_it,2013,2015,117,41,0.222822299651568,0.3338679586758926,-0.0062815782435626,-0.0953491614989442,-0.273913840600107,0.6696079165737475,2235,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,ranknet,bio_it,2014,2016,117,45,0.453227931488801,0.3197016919701739,0.2528360696590243,-0.0130836721121213,-0.2211539494547781,0.6568849098515168,2235,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,ranknet,bio_it,2015,2017,127,49,0.1505102040816326,0.2325401349409462,0.2417307360803345,0.0743631645359289,-0.1599212223150952,0.6617974522659522,2630,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,ranknet,bio_it,2016,2018,135,52,0.2340611727070485,0.2244153533071481,0.2099345500524803,0.1183134407626679,-0.1557069514696488,0.6623390191517639,2986,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,ranknet,bio_it,2017,2019,146,56,0.418564910602989,0.2837348653173416,0.1105780696507009,0.1046095140969003,-0.1366734247683256,0.6678582160735085,3492,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,ranknet,bio_it,2018,2020,157,62,0.6378837098033291,0.398324598849032,0.0757791015125928,0.0527633800567292,-0.14486195039648,0.6571996769955696,4042,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,ranknet,bio_it,2019,2021,170,64,0.4976247439055868,0.6097757756921418,0.0528354846877218,0.1216104153780786,-0.1095156942667646,0.617362231001317,4757,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,ranknet,bio_it,2020,2022,182,67,0.5270572272328199,0.7139271726671648,-0.0478415021267157,0.1083489685256397,-0.088955591908949,0.589827403076579,5447,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,ranknet,bio_it,2021,2023,193,73,0.5570973489718121,0.7618355297994669,-0.124724799705661,0.1041623255193743,-0.0154847779176535,0.5973745322940761,6118,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2025,ranknet,bio_it,2022,2024,204,74,0.6825966871470889,0.7285126508705204,-0.0180544845254334,0.0848260284442901,-0.0164396826351212,0.6135905045349334,6855,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
