date,added_ticker,added_security,removed_ticker,removed_security
2008-09-16,HRS,Harris Corporation,LEH,Lehman Brothers
2008-12-31,OI,Owens-Illinois,WB,Wachovia Bank
2009-03-03,HRL,Hormel Foods,ACAS,American Capital
2009-03-03,VTR,Ventas,JNY,Jones Apparel Group
2009-06-05,FTI,FMC Technologies,COV,Covidien
2009-06-25,,,TEL,TE Connectivity
2009-06-29,PCS,MetroPCS,,
2009-08-19,FMC,FMC Corporation,CTX,Centex Corp.
2009-09-28,ARG,Airgas,CBE,Cooper Industries
2009-11-03,PCLN,Priceline.com,SGP,Schering-Plough
2009-12-18,CLF,Cliffs Natural Resources,KBH,KB Home
2009-12-18,V,Visa,CIEN,Ciena
2009-12-18,MJN,Mead Johnson Nutrition,DYN,Dynegy
2009-12-18,SAI,SAIC,CVG,Convergys
2009-12-18,ROST,Ross Stores,MBI,MBIA
2010-02-26,HP,Helmerich & Payne,RX,IMS Health
2010-04-29,CERN,Cerner,BJS,BJ Services
2010-06-28,KMX,CarMax,XTO,XTO Energy
2010-06-30,QEP,QEP Resources,STR,Questar
2010-07-14,CB,Chubb,MIL,Millipore
2010-08-26,TYC,Tyco International,SII,Smith International
2010-11-17,IR,Ingersoll-Rand,PTV,Pactiv
2010-12-17,FFIV,F5 Networks,EK,Eastman Kodak
2010-12-17,CVC,Cablevision,KG,King Pharmaceuticals
2010-12-17,NFX,Newfield Exploration,NYT,The New York Times Company
2010-12-17,NFLX,Netflix,ODP,Office Depot
2011-01-03,MMI,Motorola Mobility,MDP,Meredith Corp
2011-02-25,JOYG,Joy Global,AYE,Allegheny Energy
2011-02-28,COV,Covidien,MFE,McAfee
2011-03-31,EW,Edwards Lifesciences,Q,Qwest Communications
2011-04-01,BLK,BlackRock,GENZ,Genzyme
2011-04-27,CMG,Chipotle Mexican Grill,NOVL,Novell
2011-06-01,ANR,Alpha Natural Resources,MEE,Massey Energy
2011-06-30,MPC,Marathon Oil,RSH,RadioShack
2011-07-05,ACN,Accenture,MI,Marshall & Ilsley
2011-09-23,MOS,The Mosaic Company,NSM,National Semiconductor
2011-10-14,TEL,TE Connectivity,CEPH,Cephalon
2011-10-31,XYL,Xylem,ITT,ITT
2011-11-18,CBE,Cooper Industries,JNS,Janus Capital Group
2011-12-12,GAS,AGL Resources.,GAS,Nicor Gas
2011-12-16,DLTR,Dollar Tree,WFR,MEMC Electronic Materials
2011-12-16,PRGO,Perrigo,MWW,Monster Worldwide
2011-12-16,BWA,BorgWarner,AKS,AK Steel
2011-12-20,TRIP,TripAdvisor,TLAB,Tellabs
2011-12-31,WPX,WPX Energy,CPWR,Compuware
2012-03-13,CCI,Crown Castle,CEG,Constellation Energy Group
2012-04-03,FOSL,Fossil,MHS,Medco Health Solutions
2012-04-23,PSX,Phillips 66,SVU,Supervalu
2012-05-17,KMI,Kinder Morgan,EP,El Paso Corporation
2012-05-21,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility
2012-06-05,LRCX,Lam Research,NVLS,Novellus Systems
2012-06-29,MNST,Monster Beverage,SLE,Sara Lee Corporation
2012-07-02,STX,Seagate Technology,PGN,Progress Energy
2012-07-31,ESV,Ensco,GR,Goodrich Corporation
2012-09-05,LYB,LyondellBasell,SHLD,Sears Holdings
2012-10-01,PNR,Pentair,DV,DeVry
2012-10-01,ADT,ADT,LXK,Lexmark
2012-10-02,MDLZ,Mondelez,KFT,Kraft Foods
2012-10-02,KRFT,Kraft Foods,ANR,Alpha Natural Resources
2012-10-10,PETM,PetSmart,SUN,Sunoco
2012-12-03,DG,Dollar General,CBE,Cooper Industries
2012-12-11,GRMN,Garmin,RRD,RR Donnelley
2012-12-21,DLPH,Delphi Automotive,TIE,Titanium Metals
2013-01-02,ABBV,AbbVie,FII,Federated Investors
2013-02-15,PVH,PVH,BIG,Big Lots
2013-04-30,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS
2013-05-08,MAC,Macerich,CVH,Coventry Health Care
2013-05-23,KSU,Kansas City Southern,DF,Dean Foods
2013-06-06,GM,General Motors,HNZ,Heinz
2013-06-21,ZTS,Zoetis,FHN,First Horizon
2013-07-01,NWSA,21st Century Fox,APOL,Apollo Education Group
2013-07-08,NLSN,Nielsen Holdings,S,Sprint Nextel
2013-09-10,DAL,Delta Air Lines,BMC,BMC Software
2013-09-20,AME,Ametek,SAI,SAIC
2013-09-20,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices
2013-10-29,RIG,Transocean,DELL,Dell
2013-11-13,KORS,Michael Kors,NYX,NYSE Euronext
2013-12-02,ALLE,Allegion,JCP,JCPenney
2013-12-10,GGP,General Growth Properties,MOLX,Molex
2013-12-23,FB,Facebook,TER,Teradyne
