MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy
2021-04-30,0.04484194985068335,1.0448419498506814,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-05-31,0.025788823788694515,1.0717871947824165,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-06-30,-0.010793121115553639,1.0602192657790304,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-07-31,0.010768263312039617,1.0716359860014362,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-08-31,0.012589012108382258,1.0851268244049863,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-09-30,-0.03174657212818266,1.0506777674057877,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-10-31,0.0435784175822127,1.096464641898144,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-11-30,-0.004771632255019975,1.091232715846374,99,99,0,0,2020,2021-03-31,gap_top_30pct
2021-12-31,0.07123474399124197,1.168966398994558,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-01-31,-0.06706102567745875,1.0905743132954975,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-02-28,0.0009373608922598198,1.091596575006884,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-03-31,0.019728343272139348,1.1131319669533113,99,99,0,0,2020,2021-03-31,gap_top_30pct
2022-04-30,-0.09015741379248043,0.9098425862075196,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-05-31,-0.017819348931281787,0.8936297836913479,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-06-30,-0.08683470138442273,0.8160317082762835,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-07-31,0.0990469836459944,0.8968571875405374,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-08-31,-0.049890231686351094,0.8521127746645708,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-09-30,-0.09418375835866932,0.7718575910012276,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-10-31,0.07971003540734167,0.833382386909361,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-11-30,0.08244043202794371,0.9020867909306477,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-12-31,-0.05273033824281381,0.8545194493205002,17,17,0,0,2021,2022-03-31,gap_top_5pct
2023-01-31,0.10309573298752372,0.9426167583002922,17,17,0,0,2021,2022-03-31,gap_top_5pct
2023-02-28,-0.03661367950848082,0.9081040904125622,17,17,0,0,2021,2022-03-31,gap_top_5pct
2023-03-31,0.04085581614094025,0.9452054241672936,17,17,0,0,2021,2022-03-31,gap_top_5pct
2022-04-30,-0.0779372177245673,0.9220627822754329,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-05-31,0.0017568905559828263,0.9236827456696359,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-06-30,-0.11005448658526029,0.8220273153273006,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-07-31,0.0859111990246193,0.8926486676180577,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-08-31,-0.05740502538061254,0.8414061481974732,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-09-30,-0.106431416925583,0.751854099634919,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-10-31,0.1012808879111462,0.828002550425579,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-11-30,0.08142289227908361,0.8954209128956875,35,35,0,0,2021,2022-03-31,gap_top_10pct
2022-12-31,-0.051197735289175594,0.8495773900248621,35,35,0,0,2021,2022-03-31,gap_top_10pct
2023-01-31,0.10053259309299101,0.9349876080772369,35,35,0,0,2021,2022-03-31,gap_top_10pct
