Ticker,FiscalYear,model_type,sector_scope,Sector,MarketCap,m1,m2,m3,SP500MemberYear,SP500AsOfDate,y_actual,score,gap,Strategy,RebalanceDate,buy_date,sell_date,target_sell_date,buy_price,sell_price,position_return,price_status
GILD,2021,mse,bio_it,Health Care,74543566698.43965,0.1495285549111708,1.0227825413645992,0.8158733519165402,2021,2021-12-31,-0.5803706840322396,-0.22071552311557247,0.3596551609166671,gap_top_30pct,2022-03-31,2022-03-31,2023-03-31,2023-03-31,59.45000076293945,82.97000122070312,0.39562657957820924,normal
AAPL,2021,mse,bio_it,Information Technology,2913284035454.0405,0.7209512697788212,1.0820301402468813,1.228244641545286,2021,2021-12-31,1.7208920975627042,2.0395906577668317,0.31869856020412746,gap_top_30pct,2022-03-31,2022-03-31,2023-03-31,2023-03-31,174.61000061035156,164.89999389648438,-0.05560968260652732,normal
VRSN,2022,mse,bio_it,Information Technology,22164144140.349747,-0.5413292698043646,1.0625905775942364,1.6197521774679138,2022,2022-12-31,-5.842027732560031,-2.515460913627683,3.3265668189323483,gap_top_5pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,211.3300018310547,189.5099945068359,-0.10325087368173369,normal
LRCX,2022,mse,bio_it,Information Technology,5013752978.173218,0.4151883849740926,1.0780562424838716,1.168903758312715,2022,2022-12-31,-2.030900510707963,0.7978111278868139,2.828711638594777,gap_top_5pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,53.012001037597656,97.15699768066406,0.8327359046823659,normal
AVGO,2022,mse,bio_it,Information Technology,24446756846.588287,0.3015700905009287,1.0261156946010546,0.98710047563526,2022,2022-12-31,-1.6810249591681339,0.3429018083232827,2.0239267674914165,gap_top_5pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,64.15399932861328,132.54100036621094,1.0659818834879156,normal
VRSN,2022,mse,bio_it,Information Technology,22164144140.349747,-0.5413292698043646,1.0625905775942364,1.6197521774679138,2022,2022-12-31,-5.842027732560031,-2.515460913627683,3.3265668189323483,gap_top_10pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,211.3300018310547,189.5099945068359,-0.10325087368173369,normal
LRCX,2022,mse,bio_it,Information Technology,5013752978.173218,0.4151883849740926,1.0780562424838716,1.168903758312715,2022,2022-12-31,-2.030900510707963,0.7978111278868139,2.828711638594777,gap_top_10pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,53.012001037597656,97.15699768066406,0.8327359046823659,normal
AVGO,2022,mse,bio_it,Information Technology,24446756846.588287,0.3015700905009287,1.0261156946010546,0.98710047563526,2022,2022-12-31,-1.6810249591681339,0.3429018083232827,2.0239267674914165,gap_top_10pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,64.15399932861328,132.54100036621094,1.0659818834879156,normal
WDC,2022,mse,bio_it,Information Technology,8170150164.596695,0.0750942362395176,1.061993909001581,1.0260161346354266,2022,2022-12-31,-2.1308468369441713,-0.450810870597568,1.6800359663466033,gap_top_10pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,28.473167419433594,51.579742431640625,0.8115210602258554,normal
NVDA,2022,mse,bio_it,Information Technology,46552972221.37452,0.2514048960513892,1.2822836284148067,1.5445327486982734,2022,2022-12-31,-1.0544295948538125,0.3307267974599812,1.3851563923137937,gap_top_10pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,27.777000427246097,90.3560028076172,2.25290713244142,normal
MU,2022,mse,bio_it,Information Technology,54336685330.65372,0.1482935451064539,1.0882707408049042,1.1856785436976964,2022,2022-12-31,-1.312047155114704,-0.14918975048048527,1.1628574046342186,gap_top_10pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,60.34000015258789,117.88999938964844,0.953762000191051,normal
VRSN,2022,mse,bio_it,Information Technology,22164144140.349747,-0.5413292698043646,1.0625905775942364,1.6197521774679138,2022,2022-12-31,-5.842027732560031,-2.515460913627683,3.3265668189323483,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,211.3300018310547,189.5099945068359,-0.10325087368173369,normal
LRCX,2022,mse,bio_it,Information Technology,5013752978.173218,0.4151883849740926,1.0780562424838716,1.168903758312715,2022,2022-12-31,-2.030900510707963,0.7978111278868139,2.828711638594777,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,53.012001037597656,97.15699768066406,0.8327359046823659,normal
AVGO,2022,mse,bio_it,Information Technology,24446756846.588287,0.3015700905009287,1.0261156946010546,0.98710047563526,2022,2022-12-31,-1.6810249591681339,0.3429018083232827,2.0239267674914165,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,64.15399932861328,132.54100036621094,1.0659818834879156,normal
WDC,2022,mse,bio_it,Information Technology,8170150164.596695,0.0750942362395176,1.061993909001581,1.0260161346354266,2022,2022-12-31,-2.1308468369441713,-0.450810870597568,1.6800359663466033,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,28.473167419433594,51.579742431640625,0.8115210602258554,normal
NVDA,2022,mse,bio_it,Information Technology,46552972221.37452,0.2514048960513892,1.2822836284148067,1.5445327486982734,2022,2022-12-31,-1.0544295948538125,0.3307267974599812,1.3851563923137937,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,27.777000427246097,90.3560028076172,2.25290713244142,normal
MU,2022,mse,bio_it,Information Technology,54336685330.65372,0.1482935451064539,1.0882707408049042,1.1856785436976964,2022,2022-12-31,-1.312047155114704,-0.14918975048048527,1.1628574046342186,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,60.34000015258789,117.88999938964844,0.953762000191051,normal
INTC,2022,mse,bio_it,Information Technology,135155782424.92676,0.0523624512626056,2.6576187871937313,1.205580584038891,2022,2022-12-31,-1.361185025219082,-0.24115970785752072,1.1200253173615613,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,32.66999816894531,44.16999816894531,0.3520049171882538,normal
STX,2022,mse,bio_it,Information Technology,10366794026.026451,0.4613264529450901,0.9733505050770912,1.0225501498731842,2022,2022-12-31,-0.17206811995921312,0.9127848422281954,1.0848529621874086,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,66.12000274658203,93.0500030517578,0.4072897638614794,normal
HPE,2022,mse,bio_it,Information Technology,20675704730.88649,0.0284663918182305,1.0382253018605472,1.0499635356978076,2022,2022-12-31,-1.6253657777837434,-0.6154820891114087,1.0098836886723346,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,15.93000030517578,17.729999542236328,0.11299430022457146,normal
KLAC,2022,mse,bio_it,Information Technology,42914077423.28125,0.7083667459624088,1.119002908517219,1.221842329223931,2022,2022-12-31,0.9770401419935013,1.8624657500778488,0.8854256080843474,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,399.1700134277344,698.5700073242188,0.7500563264396805,normal
MRNA,2022,mse,bio_it,Health Care,59334035553.928925,0.3305171622965762,1.2529191739305945,2.0260211552707528,2022,2022-12-31,-0.12811701786864393,0.7178871273617018,0.8460041452303457,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,153.5800018310547,106.55999755859376,-0.30615968037417507,normal
ANET,2022,mse,bio_it,Information Technology,12857882336.312223,0.1992068206832645,1.193889248538222,1.3460516637078077,2022,2022-12-31,-0.5982270108229888,0.08549398597888033,0.6837209968018692,gap_top_20pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,41.96500015258789,72.49500274658203,0.7275110802569942,normal
VRSN,2022,mse,bio_it,Information Technology,22164144140.349747,-0.5413292698043646,1.0625905775942364,1.6197521774679138,2022,2022-12-31,-5.842027732560031,-2.515460913627683,3.3265668189323483,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,211.3300018310547,189.5099945068359,-0.10325087368173369,normal
LRCX,2022,mse,bio_it,Information Technology,5013752978.173218,0.4151883849740926,1.0780562424838716,1.168903758312715,2022,2022-12-31,-2.030900510707963,0.7978111278868139,2.828711638594777,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,53.012001037597656,97.15699768066406,0.8327359046823659,normal
AVGO,2022,mse,bio_it,Information Technology,24446756846.588287,0.3015700905009287,1.0261156946010546,0.98710047563526,2022,2022-12-31,-1.6810249591681339,0.3429018083232827,2.0239267674914165,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,64.15399932861328,132.54100036621094,1.0659818834879156,normal
WDC,2022,mse,bio_it,Information Technology,8170150164.596695,0.0750942362395176,1.061993909001581,1.0260161346354266,2022,2022-12-31,-2.1308468369441713,-0.450810870597568,1.6800359663466033,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,28.473167419433594,51.579742431640625,0.8115210602258554,normal
NVDA,2022,mse,bio_it,Information Technology,46552972221.37452,0.2514048960513892,1.2822836284148067,1.5445327486982734,2022,2022-12-31,-1.0544295948538125,0.3307267974599812,1.3851563923137937,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,27.777000427246097,90.3560028076172,2.25290713244142,normal
MU,2022,mse,bio_it,Information Technology,54336685330.65372,0.1482935451064539,1.0882707408049042,1.1856785436976964,2022,2022-12-31,-1.312047155114704,-0.14918975048048527,1.1628574046342186,gap_top_30pct,2023-03-31,2023-03-31,2024-03-31,2024-03-31,60.34000015258789,117.88999938964844,0.953762000191051,normal
