Strategy,status,n_obs,alpha_monthly,alpha_annualized,alpha_tstat,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,mean_monthly_return,mean_monthly_excess_return,r_squared,Experiment,Universe,Model,SectorScope,WindowYears
gap_top_30pct,ok,84,0.0081557394847266,0.1023805017861214,2.1270818844195216,1.1547852910672138,0.0019928658247019,-0.0523644279232043,-0.0587432456190919,0.016160253386732,0.0216507773988937,0.0194603012084176,0.7527478836397233,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
gap_top_5pct,ok,84,0.0164769542723246,0.2166633905266135,2.614707959501248,1.2528820710040725,-0.2007050544690632,-0.0176265899845412,0.0619210716091377,-0.4696977323589842,0.0315501600395308,0.0293596838490546,0.589392170221583,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
gap_top_10pct,ok,108,0.01958306003661,0.2620348122335225,3.4545970158075288,1.24387939354131,-0.0912366783646439,-0.1214560325919458,0.0755972937624992,-0.2143487077797891,0.0342949430108552,0.0323088318997441,0.5369621410540513,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_20pct,ok,108,0.0100632944309193,0.1276727093813106,2.6755978175478603,1.222837819601407,0.0097093191427647,-0.0646087435881553,0.0040458237805369,-0.1480227732117051,0.0240737941967572,0.0220876830856461,0.7177544947334835,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_30pct,ok,108,0.0074008826094557,0.0925162974621363,2.380212314298497,1.1162455618761011,0.1111206010385945,-0.0326129781708032,0.0117754238628696,-0.0932143116273952,0.0201342602991794,0.0181481491880683,0.7603839888069306,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_5pct,ok,108,0.0144878560831368,0.1883988755087873,2.804457488228868,1.2624296844258711,-0.0019993027708697,-0.2511875894754068,0.2127128929397505,-0.5012123862616976,0.0297893104862609,0.0278031993751498,0.6253641590974386,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_10pct,ok,84,-0.000181014785026,-0.0021700161453861,-0.09229827092065,1.035931882917526,0.1979156156891751,0.105106344106798,0.2368279522730673,0.1331198512059263,0.0131505279050916,0.0109600517146154,0.912567926007895,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_20pct,ok,84,0.0004799714436841,0.0057748862671227,0.2636393990381622,1.016467859385636,0.3141743009377437,0.1984159768870458,0.2723698841816868,0.1035348411454521,0.0136410440941535,0.0114505679036773,0.9281524243177128,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_30pct,ok,84,-0.000696232193122,-0.0083228676577167,-0.450019370327308,0.9986688760570172,0.2897367430981908,0.2344572615992908,0.2589559947826604,0.0783957657800448,0.0123320219569388,0.0101415457664626,0.9455700049618716,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_5pct,ok,84,-0.0003904362207637,-0.0046751866624846,-0.1605545407091051,1.0058285158644822,0.0758722784921367,-0.0308270540359253,0.3067426645769595,0.10204963802187,0.0129000003643865,0.0107095241739103,0.8570951756073824,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_10pct,ok,108,0.0024583342279784,0.0299021622367103,1.4604521185834147,1.0416209209444909,0.1598160029022106,0.1188642602787764,0.1887859625146022,0.1098359663714336,0.0147227766310462,0.0127366655199351,0.9053447701955786,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_20pct,ok,108,0.0006711362607434,0.0080834297106433,0.4659669887999712,1.0312684248634858,0.2410677843878097,0.2121855472075967,0.256763545408644,0.1018557860141085,0.0128060480583839,0.0108199369472728,0.9326566356924748,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_30pct,ok,108,-0.0009787406257569,-0.0116818697285323,-0.7796170448053935,1.0186209891069486,0.2535884821627626,0.2396506690956945,0.2544427833355259,0.0820671916064944,0.0109875114647489,0.0090014003536378,0.947775138956021,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_5pct,ok,108,0.0008727605256162,0.0105235457707839,0.4300875998136755,1.0112057710076203,0.080016421831401,-0.0397951858422404,0.2975826721215762,0.1041130557979068,0.013448701162908,0.0114625900517969,0.855745832899302,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_10pct,ok,84,0.0202344041519478,0.2717436437037601,3.1128529848835003,1.23949697007255,-0.1502600713288685,-0.0648850704613318,-0.142780324570635,-0.1061425971541383,0.0344840459875879,0.0322935697971117,0.5466388962916159,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_20pct,ok,84,0.0098642761720002,0.1250092991661506,2.2229816845542034,1.2295962220717835,-0.0764293282935923,-0.0327035864607379,-0.0823050731827571,-0.1034346944816407,0.0241392124048942,0.021948736214418,0.7207738631012877,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_30pct,ok,84,0.0081309365548888,0.1020550929344326,2.327067651660061,1.14614565605467,0.0686637618222965,-0.101892282383147,-0.0592402076545903,-0.0428091760423099,0.0212705398230846,0.0190800636326084,0.7898894362133432,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_5pct,ok,84,0.0155554923658622,0.2034939496060726,2.548407901517435,1.3079252543092692,-0.1989259556558816,-0.1867184177099802,0.1487517277909494,-0.4377047614324001,0.0312319909262032,0.029041514735727,0.6321156312722134,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_10pct,ok,108,0.0176261339907693,0.233272423166484,3.22045112228227,1.2542122599284895,-0.0694797544995285,-0.2242770197906931,0.0223597738572811,-0.1114108176246332,0.0322617418458983,0.0302756307347872,0.5575867578172204,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
gap_top_20pct,ok,108,0.0102127163685587,0.129676182306226,2.644175819822013,1.186822603016863,0.0549186788379026,-0.0917746863085814,0.0102869141032063,-0.1303084725324835,0.0238042181572122,0.0218181070461011,0.6973731198640896,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
gap_top_30pct,ok,108,0.0080977494131478,0.1016198228402498,2.664344245119819,1.127108313740194,0.1107439305441033,-0.0755473565194956,-0.0204076723668223,-0.0729399948263365,0.0208615554019936,0.0188754442908825,0.7715873972002243,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
gap_top_5pct,ok,108,0.015166068120705,0.197967722213475,2.6020077471295173,1.2337280461920548,0.059531692638968,-0.2359063022787219,0.3475742686648418,-0.5258741722458059,0.0304612296784854,0.0284751185673743,0.5625431097398423,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
