ticker,company_name,first_year,last_year,year_count,sp500_years,reason,correct_cik_to_fill,sec_entity_name_check,price_ticker_to_fill,sec_ticker_to_fill,sector_if_known,industry_if_known,notes
FTR,Frontier Communications,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,FTR,FTR,,,
GAS,AGL Resources,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,GAS,GAS,,,
GGP,GGP,2013,2017,5,"2013,2014,2015,2016,2017",No CIK mapping,,,GGP,GGP,,,
GMCR,Keurig Green Mountain,2014,2015,2,"2014,2015",No CIK mapping,,,GMCR,GMCR,,,
GPS,Gap,2011,2021,11,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,GPS,GPS,,,
GR,Goodrich Corporation,2011,2011,1,2011,No CIK mapping,,,GR,GR,,,
HAR,Harman International,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,HAR,HAR,,,
HBI,Hanesbrands,2015,2020,6,"2015,2016,2017,2018,2019,2020",No CIK mapping,,,HBI,HBI,,,
HCBK,Hudson City Bancorp,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,HCBK,HCBK,,,
HES,Hess Corporation,2011,2024,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",No CIK mapping,,,HES,HES,,,
HFC,HollyFrontier,2018,2020,3,"2018,2019,2020",No CIK mapping,,,HFC,HFC,,,
HNZ,Heinz,2011,2012,2,"2011,2012",No CIK mapping,,,HNZ,HNZ,,,
HOLX,Hologic,2016,2025,10,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",No CIK mapping,,,HOLX,HOLX,,,
HOT,Starwood,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,HOT,HOT,,,
HSP,Hospira,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,HSP,HSP,,,
IGT,International Game Technology,2011,2013,3,"2011,2012,2013",No CIK mapping,,,IGT,IGT,,,
INFO,IHS Markit,2017,2021,5,"2017,2018,2019,2020,2021",No CIK mapping,,,INFO,INFO,,,
IPG,Interpublic Group,2011,2024,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",No CIK mapping,,,IPG,IPG,,,
JCP,JCPenney,2011,2012,2,"2011,2012",No CIK mapping,,,JCP,JCP,,,
JDSU,JDS Uniphase,2011,2012,2,"2011,2012",No CIK mapping,,,JDSU,JDSU,,,
JNPR,Juniper Networks,2011,2024,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",No CIK mapping,,,JNPR,JNPR,,,
JOY,Joy Global,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,JOY,JOY,,,
JWN,Nordstrom,2011,2019,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019",No CIK mapping,,,JWN,JWN,,,
K,Kellanova,2011,2024,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",No CIK mapping,,,K,K,,,
KFT,Kraft Foods,2011,2011,1,2011,No CIK mapping,,,KFT,KFT,,,
KRFT,Kraft Foods,2012,2014,3,"2012,2013,2014",No CIK mapping,,,KRFT,KRFT,,,
KSU,Kansas City Southern,2013,2020,8,"2013,2014,2015,2016,2017,2018,2019,2020",No CIK mapping,,,KSU,KSU,,,
LLL,L3 Technologies,2011,2018,8,"2011,2012,2013,2014,2015,2016,2017,2018",No CIK mapping,,,LLL,LLL,,,
LLTC,Linear Technology,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,LLTC,LLTC,,,
LM,Legg Mason,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,LM,LM,,,
LO,Lorillard Tobacco Company,2011,2014,4,"2011,2012,2013,2014",No CIK mapping,,,LO,LO,,,
LSI,LSI Corporation,2011,2013,3,"2011,2012,2013",No CIK mapping,,,LSI,LSI,,,
LVLT,Level 3 Communications,2014,2016,3,"2014,2015,2016",No CIK mapping,,,LVLT,LVLT,,,
LXK,Lexmark,2011,2011,1,2011,No CIK mapping,,,LXK,LXK,,,
MHS,Medco Health Solutions,2011,2011,1,2011,No CIK mapping,,,MHS,MHS,,,
MJN,Mead Johnson,2011,2016,6,"2011,2012,2013,2014,2015,2016",No CIK mapping,,,MJN,MJN,,,
MMI,Motorola Mobility,2011,2011,1,2011,No CIK mapping,,,MMI,MMI,,,
MNK,Mallinckrodt,2014,2016,3,"2014,2015,2016",No CIK mapping,,,MNK,MNK,,,
MOLX,Molex,2011,2012,2,"2011,2012",No CIK mapping,,,MOLX,MOLX,,,
MON,Monsanto,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,MON,MON,,,
MRO,Marathon Oil,2011,2023,13,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",No CIK mapping,,,MRO,MRO,,,
MXIM,Maxim Integrated,2018,2020,3,"2018,2019,2020",No CIK mapping,,,MXIM,MXIM,,,
NBL,Noble Energy,2011,2019,9,"2011,2012,2013,2014,2015,2016,2017,2018,2019",No CIK mapping,,,NBL,NBL,,,
NFX,Newfield Exploration,2011,2018,8,"2011,2012,2013,2014,2015,2016,2017,2018",No CIK mapping,,,NFX,NFX,,,
NLSN,Nielsen Holdings,2013,2021,9,"2013,2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,NLSN,NLSN,,,
NVLS,Novellus Systems,2011,2011,1,2011,No CIK mapping,,,NVLS,NVLS,,,
NYX,NYSE Euronext,2011,2012,2,"2011,2012",No CIK mapping,,,NYX,NYX,,,
PBCT,People's United Financial,2011,2021,11,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",No CIK mapping,,,PBCT,PBCT,,,
PCL,Plum Creek Timber,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,PCL,PCL,,,
PCP,Precision Castparts Corporation,2011,2015,5,"2011,2012,2013,2014,2015",No CIK mapping,,,PCP,PCP,,,
PCS,MetroPCS,2011,2012,2,"2011,2012",No CIK mapping,,,PCS,PCS,,,
PDCO,Patterson Companies,2011,2017,7,"2011,2012,2013,2014,2015,2016,2017",No CIK mapping,,,PDCO,PDCO,,,
PETM,PetSmart,2012,2014,3,"2012,2013,2014",No CIK mapping,,,PETM,PETM,,,
PGN,Progress Energy,2011,2011,1,2011,No CIK mapping,,,PGN,PGN,,,
