MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy
2017-11-30,0.03913434110394376,1.120620938255075,84,84,0,0,2016,2017-03-31,gap_top_30pct
2017-12-31,0.01203456846287132,1.1341071276574328,84,84,0,0,2016,2017-03-31,gap_top_30pct
2018-01-31,0.05663282290086502,1.1983348157686649,84,84,0,0,2016,2017-03-31,gap_top_30pct
2018-02-28,-0.044644533200437264,1.1448357173008408,84,84,0,0,2016,2017-03-31,gap_top_30pct
2018-03-31,-0.005758942631807318,1.1382426740820613,84,84,0,0,2016,2017-03-31,gap_top_30pct
2018-04-30,0.0031390335302492467,1.0031390335302488,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-05-31,0.03039972748686437,1.0336341867810048,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-06-30,-0.0007388557268986906,1.0328704802425834,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-07-31,0.06295598893411092,1.0978958627671054,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-08-31,0.031030464534611335,1.1319640813993965,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-09-30,0.004972786950169894,1.1375930976114406,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-10-31,-0.05789689194007408,1.0717299929672568,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-11-30,0.02733838719583348,1.1010293624843837,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-12-31,-0.07869723914816884,1.0143813914357942,14,14,0,0,2017,2018-03-31,gap_top_5pct
2019-01-31,0.10525674876200641,1.1211518787030061,14,14,0,0,2017,2018-03-31,gap_top_5pct
2019-02-28,0.04529820976722698,1.1719380516854156,14,14,0,0,2017,2018-03-31,gap_top_5pct
2019-03-31,0.0492836966054222,1.2296954910650293,14,14,0,0,2017,2018-03-31,gap_top_5pct
2018-04-30,0.0030705884346367007,1.0030705884346363,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-05-31,0.02150577006322707,1.0246423938666973,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-06-30,0.009200690783109922,1.0340698116959304,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-07-31,0.04175507723771288,1.077247476552481,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-08-31,0.03524090772384181,1.1152106554694086,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-09-30,-0.00928428262292813,1.1048567245599297,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-10-31,-0.05915497070860498,1.0394989573813818,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-11-30,0.031123479482865868,1.0718517818539017,29,29,0,0,2017,2018-03-31,gap_top_10pct
2018-12-31,-0.10517168312407621,0.9591233258967867,29,29,0,0,2017,2018-03-31,gap_top_10pct
