MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2018-07-31,0.04748597653071407,1.086336298730729,58,58,0,0,2017,2018-03-31,gap_top_20pct,0.032,-0.019299999999999998,0.0049,0.015300000000000001,0.0031,0.0016,0.04588597653071407
2018-08-31,0.016435879738053938,1.10419119149175,58,58,0,0,2017,2018-03-31,gap_top_20pct,0.0346,0.006500000000000001,-0.0391,-0.0029,-0.025699999999999997,0.0016,0.014835879738053937
2018-09-30,-0.003902059948062253,1.0998825712684268,58,58,0,0,2017,2018-03-31,gap_top_20pct,0.0006,-0.024900000000000002,-0.016200000000000003,0.006500000000000001,0.013600000000000001,0.0015,-0.005402059948062253
2018-10-31,-0.06555477505074792,1.0277800167266868,58,58,0,0,2017,2018-03-31,gap_top_20pct,-0.0764,-0.0438,0.0338,0.0103,0.036000000000000004,0.0019,-0.06745477505074791
2018-11-30,-0.0023814845183169897,1.0253323745286167,58,57,0,1,2017,2018-03-31,gap_top_20pct,0.0171,-0.008100000000000001,0.0036,-0.0060999999999999995,0.004,0.0018,-0.004181484518316989
2018-12-31,-0.11616421228862372,0.9062254469074759,58,57,0,0,2017,2018-03-31,gap_top_20pct,-0.0955,-0.0281,-0.0192,-0.0003,0.0024,0.0019,-0.11806421228862372
2019-01-31,0.09381234419081119,0.9912405804472317,58,57,0,0,2017,2018-03-31,gap_top_20pct,0.0836,0.0291,-0.0039000000000000003,-0.0073,-0.0165,0.0021,0.09171234419081119
2019-02-28,0.022200117452600976,1.0132462377569447,58,57,0,0,2017,2018-03-31,gap_top_20pct,0.0342,0.0172,-0.026600000000000002,0.0016,-0.0154,0.0018,0.020400117452600976
2019-03-31,0.015176033793380173,1.0286232969021594,58,57,0,0,2017,2018-03-31,gap_top_20pct,0.011000000000000001,-0.0352,-0.0414,0.0088,-0.009000000000000001,0.0019,0.013276033793380172
2018-04-30,0.0036450976772368637,1.0036450976772362,88,88,0,0,2017,2018-03-31,gap_top_30pct,0.0029,0.0089,0.0053,-0.0242,0.0124,0.0014000000000000002,0.0022450976772368635
2018-05-31,0.010491607071951403,1.014174947681756,88,88,0,0,2017,2018-03-31,gap_top_30pct,0.0263,0.0471,-0.031400000000000004,-0.019799999999999998,-0.0149,0.0014000000000000002,0.009091607071951403
2018-06-30,0.012739214909473384,1.027094740296078,88,88,0,0,2017,2018-03-31,gap_top_30pct,0.0049,0.0077,-0.0233,0.0083,0.002,0.0014000000000000002,0.011339214909473384
2018-07-31,0.04440718444994518,1.0727051258759743,88,88,0,0,2017,2018-03-31,gap_top_30pct,0.032,-0.019299999999999998,0.0049,0.015300000000000001,0.0031,0.0016,0.04280718444994518
2018-08-31,0.015978944776219972,1.0898458218435145,88,88,0,0,2017,2018-03-31,gap_top_30pct,0.0346,0.006500000000000001,-0.0391,-0.0029,-0.025699999999999997,0.0016,0.014378944776219971
2018-09-30,0.000793740112093877,1.0907108761883095,88,88,0,0,2017,2018-03-31,gap_top_30pct,0.0006,-0.024900000000000002,-0.016200000000000003,0.006500000000000001,0.013600000000000001,0.0015,-0.0007062598879061231
2018-10-31,-0.07091043760947568,1.0133680906523819,88,88,0,0,2017,2018-03-31,gap_top_30pct,-0.0764,-0.0438,0.0338,0.0103,0.036000000000000004,0.0019,-0.07281043760947568
2018-11-30,0.005645937105179133,1.0190895031566007,88,87,0,1,2017,2018-03-31,gap_top_30pct,0.0171,-0.008100000000000001,0.0036,-0.0060999999999999995,0.004,0.0018,0.003845937105179133
2018-12-31,-0.11298720689917785,0.9039454266146655,88,87,0,0,2017,2018-03-31,gap_top_30pct,-0.0955,-0.0281,-0.0192,-0.0003,0.0024,0.0019,-0.11488720689917785
2019-01-31,0.09536108637178775,0.990146644517449,88,87,0,0,2017,2018-03-31,gap_top_30pct,0.0836,0.0291,-0.0039000000000000003,-0.0073,-0.0165,0.0021,0.09326108637178775
2019-02-28,0.024912624810450534,1.0148137963796389,88,87,0,0,2017,2018-03-31,gap_top_30pct,0.0342,0.0172,-0.026600000000000002,0.0016,-0.0154,0.0018,0.023112624810450535
2019-03-31,0.012441533280422856,1.0274396360007285,88,87,0,0,2017,2018-03-31,gap_top_30pct,0.011000000000000001,-0.0352,-0.0414,0.0088,-0.009000000000000001,0.0019,0.010541533280422856
2019-04-30,0.025120131215812025,1.0251201312158118,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,0.023020131215812024
2019-05-31,-0.09679317102643248,0.9258955030324009,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0692,-0.015600000000000001,-0.0245,-0.0048,0.0176,0.0021,-0.09889317102643248
2019-06-30,0.07117593595895677,0.9917969820609212,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0699,0.0019,-0.0064,0.0045000000000000005,-0.0055000000000000005,0.0018,0.06937593595895677
2019-07-31,0.04675412639444865,1.0381675835178301,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.012199999999999999,-0.0182,0.005,-0.0013,0.0037,0.0019,0.04485412639444865
2019-08-31,-0.01700223341915552,1.0205164159346594,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0255,-0.0325,-0.04769999999999999,0.0053,-0.0062,0.0016,-0.018602233419155522
