year,ticker,cik,sector,industry,name,date_added,is_current_constituent,source,as_of_date,price_ticker,sec_ticker,in_dataset_universe
2019,LEN,0000920760,Consumer Discretionary,Homebuilding,Lennar,2005-10-04,True,cached_current,2019-12-31,LEN,LEN,True
2019,LH,0000920148,Health Care,Health Care Services,Labcorp,2004-11-01,True,cached_current,2019-12-31,LH,LH,True
2019,LHX,0000202058,Industrials,Aerospace & Defense,L3Harris,2008-09-22,True,cached_current,2019-12-31,LHX,LHX,True
2019,LIN,0001707925,Materials,Industrial Gases,Linde plc,1992-07-01,True,cached_current,2019-12-31,LIN,LIN,True
2019,LKQ,0001065696,Unknown,Unknown,LKQ Corporation,,False,wikipedia_removed,2019-12-31,LKQ,LKQ,True
2019,LLY,0000059478,Health Care,Pharmaceuticals,Lilly (Eli),1970-12-31,True,cached_current,2019-12-31,LLY,LLY,True
2019,LMT,0000936468,Industrials,Aerospace & Defense,Lockheed Martin,1957-03-04,True,cached_current,2019-12-31,LMT,LMT,True
2019,LNC,0000059558,Unknown,Unknown,Lincoln National Corporation,,False,wikipedia_removed,2019-12-31,LNC,LNC,True
2019,LNT,0000352541,Utilities,Electric Utilities,Alliant Energy,2016-07-01,True,cached_current,2019-12-31,LNT,LNT,True
2019,LOW,0000060667,Consumer Discretionary,Home Improvement Retail,Lowe's,1984-02-29,True,cached_current,2019-12-31,LOW,LOW,True
2019,LRCX,0000707549,Information Technology,Semiconductor Materials & Equipment,Lam Research,2012-06-29,True,cached_current,2019-12-31,LRCX,LRCX,True
2019,LUMN,0000018926,Unknown,Unknown,Lumen Technologies,,False,wikipedia_removed,2019-12-31,LUMN,LUMN,True
2019,LUV,0000092380,Industrials,Passenger Airlines,Southwest Airlines,1994-07-01,True,cached_current,2019-12-31,LUV,LUV,True
2019,LVS,0001300514,Consumer Discretionary,Casinos & Gaming,Las Vegas Sands,2019-10-03,True,cached_current,2019-12-31,LVS,LVS,True
2019,LW,0001679273,Unknown,Unknown,Lamb Weston,,False,wikipedia_removed,2019-12-31,LW,LW,True
2019,LYB,0001489393,Materials,Specialty Chemicals,LyondellBasell,2012-09-05,True,cached_current,2019-12-31,LYB,LYB,True
2019,LYV,0001335258,Communication Services,Movies & Entertainment,Live Nation Entertainment,2019-12-23,True,cached_current,2019-12-31,LYV,LYV,True
2019,M,0000794367,Unknown,Unknown,Macy's,,False,wikipedia_removed,2019-12-31,M,M,True
2019,MA,0001141391,Financials,Transaction & Payment Processing Services,Mastercard,2008-07-18,True,cached_current,2019-12-31,MA,MA,True
2019,MAA,0000912595,Real Estate,Multi-Family Residential REITs,Mid-America Apartment Communities,2016-12-02,True,cached_current,2019-12-31,MAA,MAA,True
2019,MAR,0001048286,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Marriott International,1998-05-29,True,cached_current,2019-12-31,MAR,MAR,True
2019,MAS,0000062996,Industrials,Building Products,Masco,1981-06-30,True,cached_current,2019-12-31,MAS,MAS,True
2019,MCD,0000063908,Consumer Discretionary,Restaurants,McDonald's,1970-06-30,True,cached_current,2019-12-31,MCD,MCD,True
2019,MCHP,0000827054,Information Technology,Semiconductors,Microchip Technology,2007-09-07,True,cached_current,2019-12-31,MCHP,MCHP,True
2019,MCK,0000927653,Health Care,Health Care Distributors,McKesson Corporation,1999-01-13,True,cached_current,2019-12-31,MCK,MCK,True
2019,MCO,0001059556,Financials,Financial Exchanges & Data,Moody's Corporation,1998-07-01,True,cached_current,2019-12-31,MCO,MCO,True
